population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,6,China,1,Male,27,Age-standardized,510,Pneumoconiosis,3,Rate,1995,0.9970155567063285,2.4172152163456375,0.36574570358904773
1,All Population,1,Deaths,6,China,2,Female,27,Age-standardized,510,Pneumoconiosis,3,Rate,1995,0.023122010066115466,0.046869966285049025,0.009082115124693695
1,All Population,1,Deaths,6,China,3,Both,27,Age-standardized,510,Pneumoconiosis,3,Rate,1995,0.4659129047438238,1.116669225152588,0.18286802417394454
1,All Population,1,Deaths,6,China,1,Male,27,Age-standardized,515,Asthma,3,Rate,1995,3.5137057961508966,6.881330838505196,1.2796372375543248
1,All Population,1,Deaths,6,China,2,Female,27,Age-standardized,515,Asthma,3,Rate,1995,1.1191686983088607,2.2396125128623408,0.4265791432751672
1,All Population,1,Deaths,6,China,3,Both,27,Age-standardized,515,Asthma,3,Rate,1995,2.1392423725042344,3.5165573347415386,1.0339398782755127
1,All Population,1,Deaths,6,China,1,Male,27,Age-standardized,516,Interstitial lung disease and pulmonary sarcoidosis,3,Rate,1995,0.3214070727649075,0.7115201782587355,0.1662479537008932
1,All Population,1,Deaths,6,China,2,Female,27,Age-standardized,516,Interstitial lung disease and pulmonary sarcoidosis,3,Rate,1995,0.09308030404522728,0.167494164586371,0.04730911343480328
1,All Population,1,Deaths,6,China,1,Male,27,Age-standardized,508,Chronic respiratory diseases,3,Rate,1994,171.17199044807487,232.74506672949525,118.72460269008249
1,All Population,1,Deaths,6,China,2,Female,27,Age-standardized,508,Chronic respiratory diseases,3,Rate,1994,71.95093554308625,106.06566340712659,38.170555507022655
1,All Population,1,Deaths,6,China,3,Both,27,Age-standardized,508,Chronic respiratory diseases,3,Rate,1994,112.91247314682981,144.36723543957805,75.3521275444012
1,All Population,1,Deaths,6,China,1,Male,27,Age-standardized,509,Chronic obstructive pulmonary disease,3,Rate,1994,165.854900603088,225.1621592819805,115.16252615338253
1,All Population,1,Deaths,6,China,2,Female,27,Age-standardized,509,Chronic obstructive pulmonary disease,3,Rate,1994,70.60098806528397,104.46166642134934,37.41626794862767
1,All Population,1,Deaths,6,China,3,Both,27,Age-standardized,509,Chronic obstructive pulmonary disease,3,Rate,1994,109.83652405722867,140.80576768709176,73.43164559944827
1,All Population,1,Deaths,6,China,1,Male,27,Age-standardized,510,Pneumoconiosis,3,Rate,1994,0.9901689545599636,2.4541477114465007,0.3630165336849503
1,All Population,1,Deaths,6,China,2,Female,27,Age-standardized,510,Pneumoconiosis,3,Rate,1994,0.02199823234535225,0.04326209430760581,0.00903688373347493
1,All Population,1,Deaths,6,China,3,Both,27,Age-standardized,510,Pneumoconiosis,3,Rate,1994,0.4605980333172454,1.1432096645567558,0.17729049367467462
1,All Population,1,Deaths,6,China,1,Male,27,Age-standardized,515,Asthma,3,Rate,1994,3.6273027025492612,6.902011424491618,1.3335709606247332
1,All Population,1,Deaths,6,China,2,Female,27,Age-standardized,515,Asthma,3,Rate,1994,1.109047136062047,2.3004759115267306,0.40308062877532835
1,All Population,1,Deaths,6,China,3,Both,27,Age-standardized,515,Asthma,3,Rate,1994,2.1769004560208702,3.588102551024676,1.0324218613898206
1,All Population,1,Deaths,6,China,1,Male,27,Age-standardized,516,Interstitial lung disease and pulmonary sarcoidosis,3,Rate,1994,0.3193298158062992,0.6741142837084022,0.16499339236246666
1,All Population,1,Deaths,6,China,2,Female,27,Age-standardized,516,Interstitial lung disease and pulmonary sarcoidosis,3,Rate,1994,0.08991889630601571,0.1591723365461556,0.042919604021501995
1,All Population,1,Deaths,6,China,3,Both,27,Age-standardized,516,Interstitial lung disease and pulmonary sarcoidosis,3,Rate,1996,0.19448700563647908,0.36105460571580583,0.11462474004902075
1,All Population,1,Deaths,6,China,1,Male,27,Age-standardized,520,Other chronic respiratory diseases,3,Rate,1996,0.38252562002730933,0.648522157308747,0.2033111568375267
1,All Population,1,Deaths,6,China,2,Female,27,Age-standardized,520,Other chronic respiratory diseases,3,Rate,1996,0.14195848080505694,0.25987641558730223,0.07473882611654238
1,All Population,1,Deaths,6,China,3,Both,27,Age-standardized,520,Other chronic respiratory diseases,3,Rate,1996,0.25950105965794745,0.39854948894388476,0.16200027326282943
1,All Population,1,Deaths,6,China,3,Both,27,Age-standardized,516,Interstitial lung disease and pulmonary sarcoidosis,3,Rate,1997,0.2007215530680978,0.3761103844370197,0.11851729816264912
1,All Population,1,Deaths,6,China,1,Male,27,Age-standardized,520,Other chronic respiratory diseases,3,Rate,1997,0.3862745630180838,0.6614376918292032,0.2081794237872216
1,All Population,1,Deaths,6,China,2,Female,27,Age-standardized,520,Other chronic respiratory diseases,3,Rate,1997,0.14827209952853143,0.26728816313703785,0.07732285715534688
1,All Population,1,Deaths,6,China,3,Both,27,Age-standardized,520,Other chronic respiratory diseases,3,Rate,1997,0.26443207675613334,0.39834981571167194,0.1675859986984362
1,All Population,1,Deaths,6,China,1,Male,27,Age-standardized,508,Chronic respiratory diseases,3,Rate,1996,165.04230555683668,221.34516022002572,119.49585164263544
1,All Population,1,Deaths,6,China,2,Female,27,Age-standardized,508,Chronic respiratory diseases,3,Rate,1996,73.4242760149858,108.5899387943959,38.4755443709975
1,All Population,1,Deaths,6,China,3,Both,27,Age-standardized,508,Chronic respiratory diseases,3,Rate,1996,111.66008974441853,141.5136282355114,74.97777975234787
1,All Population,1,Deaths,6,China,1,Male,27,Age-standardized,509,Chronic obstructive pulmonary disease,3,Rate,1996,159.91405933243445,215.96551137829167,115.41278980104687
1,All Population,1,Deaths,6,China,2,Female,27,Age-standardized,509,Chronic obstructive pulmonary disease,3,Rate,1996,72.02101729030528,106.45893590782184,37.57555609741529
1,All Population,1,Deaths,6,China,3,Both,27,Age-standardized,509,Chronic obstructive pulmonary disease,3,Rate,1996,108.62017060557862,137.38347672228474,72.71737119827648
1,All Population,1,Deaths,6,China,1,Male,27,Age-standardized,510,Pneumoconiosis,3,Rate,1996,1.003944724219968,2.3231549872810655,0.3992163967074325
1,All Population,1,Deaths,6,China,2,Female,27,Age-standardized,510,Pneumoconiosis,3,Rate,1996,0.024483461081028866,0.049890128517893775,0.009285388250405762
1,All Population,1,Deaths,6,China,3,Both,27,Age-standardized,510,Pneumoconiosis,3,Rate,1996,0.47122308734083124,1.0791944927493797,0.19033812904272718
1,All Population,1,Deaths,6,China,1,Male,27,Age-standardized,515,Asthma,3,Rate,1996,3.416465349978307,6.693304296941633,1.2508099175431668
1,All Population,1,Deaths,6,China,2,Female,27,Age-standardized,515,Asthma,3,Rate,1996,1.1397463928551086,2.150392220571419,0.450278110675256
1,All Population,1,Deaths,6,China,3,Both,27,Age-standardized,515,Asthma,3,Rate,1996,2.114707986204658,3.5295946085746626,1.0327221463136202
1,All Population,1,Deaths,6,China,1,Male,27,Age-standardized,516,Interstitial lung disease and pulmonary sarcoidosis,3,Rate,1996,0.3253105301766067,0.717942389704963,0.1637014657451785
1,All Population,1,Deaths,6,China,2,Female,27,Age-standardized,516,Interstitial lung disease and pulmonary sarcoidosis,3,Rate,1996,0.0970703899393957,0.1841529613016511,0.04543949298089693
1,All Population,1,Deaths,6,China,1,Male,27,Age-standardized,508,Chronic respiratory diseases,3,Rate,1997,162.9505827186092,213.9052325818705,117.05756027541787
1,All Population,1,Deaths,6,China,2,Female,27,Age-standardized,508,Chronic respiratory diseases,3,Rate,1997,74.35315581394156,109.50954135570568,39.127822533922476
1,All Population,1,Deaths,6,China,3,Both,27,Age-standardized,508,Chronic respiratory diseases,3,Rate,1997,111.52593836776575,139.3810942503637,76.99468270934652
1,All Population,1,Deaths,6,China,1,Male,27,Age-standardized,509,Chronic obstructive pulmonary disease,3,Rate,1997,157.86284256617793,207.4461261183536,113.55486528938023
